Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode
Upminster Bridge,555002,186681,51.557718801033907,0.234541888686178,"6",RM12 6PL
Upney,545844,184260,51.538405647702000,0.101531744050965,"4",IG11 9LS
Upper Holloway,529778,186630,51.563623304643997,-0.129109363657748,"2",N19 4DJ
Upper Warlingham,534100,158383,51.308772254655707,-0.077481661912105,"6",CR3 0EP
Upton Park,541204,183931,51.536628200641601,0.034541839650474,"3",E13 9AP
Uxbridge,505698,184161,51.546454506604093,-0.477101559701882,"6",UB8 1JZ
Vauxhall,530366,177978,51.485735801715698,-0.123829952856406,"1,2",SW8 1SR
Victoria,528941,179131,51.496423952731703,-0.143920706325316,"1",SW1E 5JX
Waddon,531151,164828,51.367379257058907,-0.117394076608697,"5",CR0 4NA
Waddon Marsh,531082,165906,51.377082952023400,-0.117987464951922,"3,4,5,6",CR0 4XT
Wallington,528841,163985,51.360331544383797,-0.150863835123150,"5",SM6 0DZ
Waltham Cross,536520,200343,51.685257256322799,-0.026564257248425,"7",EN8 7LU
Walthamstow Central,537286,188986,51.583018113367103,-0.019940545026934,"3",E17 7LP
Walthamstow Queens Road,537020,188815,51.581546191495107,-0.023843943331908,"3",E17 7QZ
Wandle Park,531422,165505,51.373400715732799,-0.113253321178582,"3,4,5,6",CR0 4JS
Wandsworth Common,527719,173530,51.446365604358597,-0.163536980965717,"3",SW12 8NL
Wandsworth Road,529354,176226,51.470223202223600,-0.139037675747108,"2",SW8 4PA
Wandsworth Town,525985,175119,51.461034075743299,-0.187910037730367,"2",SW18 1SU
Wanstead,540685,188176,51.574902149817298,0.028760472385064,"4",E11 2NT
Wanstead Park,540592,185600,51.551778078473099,0.026389943008505,"3",E7 0HU
Wapping,535030,180170,51.504340316373799,-0.055860814532627,"2",E1W 3PA
Warren Street,529253,182272,51.524579988627202,-0.138278331644798,"1",NW1 3AA
Warwick Avenue,526158,182030,51.523104435131899,-0.182953293055720,"2",W9 2PT
Waterloo,531050,179933,51.503146639697398,-0.113259251998453,"1",SE1 7NY
Waterloo East,531332,180054,51.504168609765102,-0.109153637581110,"1",SE1 8NH
Watford,509579,196610,51.657605096073503,-0.417270006883679,"7",WD18 7LE
Watford High Street,511360,196098,51.652653704545003,-0.391696729322962,"8",WD17 2EG
Watford Junction,511023,197340,51.663883013247897,-0.396171957174806,,WD17 1ET
Wellesley Road,532511,165752,51.375367538535698,-0.097524908634325,"3,4,5,6",CR0 2DD
Welling,546096,176073,51.464777088199000,0.101775038473133,"4",DA16 3AT
Wembley Central,518214,185039,51.551864780302701,-0.296392327030991,"4",HA9 6AG
Wembley Park,519373,186341,51.563322458125498,-0.279242552649773,"4",HA9 9AA
Wembley Stadium,518924,185366,51.554654570564701,-0.286046446735794,"4",HA9 8BQ
West Acton,519394,181273,51.517770150265903,-0.280657175489370,"3",W3 6UP
West Brompton,525383,178030,51.487328914726497,-0.195538811890396,"2",SW5 9JX
West Croydon,532188,166098,51.378552174129297,-0.102034292902506,"5",CR0 2TA
West Drayton,506124,180122,51.510071218535998,-0.472176096858205,"6",UB7 9DY
West Dulwich,532798,173053,51.440911821297199,-0.090672676392605,"3",SE21 8HN
West Ealing,516690,180749,51.513625205209699,-0.319782954648735,"3",W13 0NQ
West Finchley,525507,191601,51.609262727783907,-0.188917109550708,"4",N3 1NT
West Ham,539202,182974,51.528525519359903,0.005317393830628,"3",E15 3BN
West Hampstead,525524,184726,51.547474333050801,-0.191126585563572,"2",NW6 2LX
West Hampstead Thameslink,525423,184852,51.548629122614798,-0.192537519702221,"2",NW6 1XJ
West Harrow,514163,187957,51.578924237987600,-0.353846697165067,"5",HA1 4HE
West India Quay,537471,180505,51.506762657667707,-0.020582447150931,"2",E14 4ED
West Kensington,524635,178321,51.490109362443697,-0.206203694687821,"2",W14 9NL
West Norwood,531956,171955,51.431241115650003,-0.103189134912662,"3",SE27 0HS
West Ruislip,508364,186791,51.569587871370302,-0.437860145556687,"6",HA4 7WD
West Silvertown,540455,180155,51.502884434803001,0.022246046649938,"3",E16 2AT
West Sutton,525081,164539,51.366150135202197,-0.204644548460784,"5",SM1 2EH
West Wickham,538266,166563,51.381284201265899,-0.014576330422023,"5",BR4 0PY
Westbourne Park,524920,181764,51.520988841338600,-0.200882515158211,"2",W11 1AB
Westcombe Park,540199,178103,51.484508895998601,0.017745700242936,"3",SE3 7EQ
Westferry,537064,180814,51.509638147910898,-0.026323137139852,"2",E14 8AD
Westminster,530240,179718,51.501401591350103,-0.125002079249726,"1",SW1A 2JR
White City,523296,180750,51.512232437641501,-0.224631931448130,"2",W12 7RH
White Hart Lane,533693,191340,51.605034770871796,-0.070870326822947,"3",N17 7RP
Whitechapel,534738,181859,51.519587785575503,-0.059420485189182,"2",E1 1BY
Whitton,514220,173568,51.449588190717400,-0.357682060872100,"5",TW2 7LG
Whyteleafe,533842,158505,51.309929318346299,-0.081135165382747,"6",CR3 0AD
Whyteleafe South,534169,157797,51.303489803442098,-0.076712514743058,"6",CR3 0BD
Willesden Green,523350,184884,51.549373286431802,-0.222407604124480,"2,3",NW2 4QT
Willesden Junction,521905,182942,51.532233963493603,-0.243909143297483,"3",NW10 4RA
Wimbledon,524791,170647,51.421107844971800,-0.206662835920936,"3",SW19 1PS
Wimbledon Chase,524306,169347,51.409530932270400,-0.214089769747315,"3",SW20 8DB
Wimbledon Park,525274,172158,51.434580952628693,-0.199186275276999,"3",SW19 7DZ
Winchmore Hill,531529,194494,51.633886859158103,-0.100916933316384,"4",N21 3NG
Wood Green,531038,190427,51.597453728312097,-0.109526589468032,"3",N22 8HH
Wood Lane,523314,180464,51.509658194800302,-0.224472608638623,"2",W12 7DS
Wood Street,538521,189426,51.586669944006303,-0.001953898013222,"4",E17 3NZ
Woodford,540952,191778,51.607201844378501,0.034056202345483,"4",IG8 7QE
Woodgrange Park,541861,185332,51.549052535250397,0.044572496106252,"3,4",E7 8AA
Woodmansterne,528720,159385,51.319018579426803,-0.154262128540663,"6",CR5 3HS
Woodside,534716,167115,51.387097683133902,-0.065347178099500,"3,4,5,6",SE25 5DP
Woodside Park,525725,192564,51.617868399864200,-0.185425504725524,"4",N12 8SE
Woolwich Arsenal,543754,178803,51.489907116547997,0.069193906407498,"4",SE18 6HX
Woolwich Dockyard,542738,178908,51.491107794794601,0.054612348313615,"3",SE18 5JY
Worcester Park,522192,166133,51.381104487289399,-0.245575291815635,"4",KT4 7ND
